mean dn,std dev dn,mean n,std dev n,mean dp,std dev dp,mean p,std dev p,mean e,std dev e,dn,n,dndegen,ndegen,dp,p,e,eb,t,mue,nb,yp,k,cost,k,cost,phi
4.944693999176411e-23,0.0,1.1729630054321847e-08,1.138490683235784e-10,1.8518188847867553e-24,1.868424078697591e-24,2.6420553109182667e+35,7.815411107698385e+35,7.082964197330811e-10,4.5496143954753085e-12,2.7149878550932527e-22,1.154265364640302e-08,3.583632936153785e-06,4.9442792240644966e-05,3.4161243239641086e-26,1.8075959535753457e-09,6.094775846824816e-10,0.004094229090288694,0.054254008046724034,-0.05560384396745086,6.229163781307112e-05,0.15542824390684706,0.02173680295916447,-0.2086961966568981,0.20518360395459917,0.8765253827311739,5.756437788747917
3.0855129589645354e-07,0.0,1.6868795294414143e-06,2.7402113399870115e-08,2.251939886305125e-08,4.1712402576384916e-08,inf,inf,2.991548746190508e-10,2.2056001782357273e-12,4.30530231311764e-07,1.2769430802512975e-06,0.00012801014216926978,0.0036613754877276522,4.013615780352441e-11,3.5103144463832614e-08,7.706617126359599e-10,0.0062336850702767975,0.23038453622206884,-1.1348046459992158,0.00042881612815543873,0.031760736667533096,0.08142470335478591,-0.4001878499829199,0.23071164552356038,0.6028849613411595,3.7545633914365055
1.2551242159149044e-14,0.0,1.0744199748715331e-05,1.4161056925547748e-07,4.673516690298395e-25,1.3804556434648793e-24,6.386285685568537e-06,1.1664324673395798e-06,1.6498227404485794e-09,1.7563754789941227e-11,1.5257507938326253e-13,1.0560105146194371e-05,5.367797309677814e-07,2.642534268188837e-05,7.790021128988502e-20,3.0392110426106926e-06,8.335544961734588e-09,0.0046166822189790315,0.027715015522416564,2.149459084585614,0.006229298935056154,0.24194768914440157,0.08142470335478591,-0.4001878499829199,0.23071164552356038,0.6028849613411595,3.7545633914365055
7.7825115611654e-12,0.0,1.5991594552217652e-07,7.933048882619532e-10,1.3048457116387211e-15,2.9796197142210655e-15,3.0545542587404343e+49,9.658406710727409e+49,6.605449156765234e-10,5.933427977605262e-12,3.209397067940597e-11,1.6143827642300305e-07,7.957112986435507e-06,9.914999147189301e-05,6.525298205767141e-22,2.528553753420116e-08,3.412946794817283e-09,0.004094229090288694,0.054254008046724034,-0.05560384396745086,6.229163781307112e-05,0.15542824390684706,0.08142470335478591,-0.4001878499829199,0.23071164552356038,0.6028849613411595,3.7545633914365055
5.333812527594529e-08,0.0,2.689560774718368e-06,2.929204302015517e-08,1.6216192109522272e-09,2.8826116566663527e-09,inf,inf,8.347694299265184e-10,8.013014389461385e-12,5.5738551087007806e-08,2.082436027564431e-06,4.180212691657596e-05,0.0039215335860208166,1.98758298740547e-10,5.7088516393319485e-08,1.0925123831263068e-09,0.0062336850702767975,0.23038453622206884,-1.1348046459992158,0.00042881612815543873,0.031760736667533096,0.10384937333044858,0.7442376728006743,0.12535780506393784,0.8172824402323031,0.19972074433600895
3.5660024538408914e-22,0.0,1.7422145917445844e-05,2.304084328382335e-07,1.1400540509646793e-22,2.2631631295006574e-22,1.1453854976576258e-05,1.8976855737001984e-06,8.211928497525363e-09,1.0212182714636733e-10,3.8769297961156576e-22,1.744969010650544e-05,3.4876279008875045e-06,3.613059499890421e-05,2.2022564989298414e-28,4.945810833685788e-06,1.759886257472839e-08,0.0046166822189790315,0.027715015522416564,2.149459084585614,0.006229298935056154,0.24194768914440157,0.10384937333044858,0.7442376728006743,0.12535780506393784,0.8172824402323031,0.19972074433600895
4.787185305226092e-16,0.0,2.573039417509833e-07,2.8571558684905344e-09,6.086351549368328e-17,1.1384438114798462e-16,2.0962597838307757e+50,6.5502127366758456e+50,1.745633318130563e-09,1.6871213574965406e-11,5.758381746904943e-16,2.645894059805061e-07,8.407824325661163e-06,0.0001236833918829635,7.208046277324975e-20,4.112707093013796e-08,3.5361086586702202e-09,0.004094229090288694,0.054254008046724034,-0.05560384396745086,6.229163781307112e-05,0.15542824390684706,0.10384937333044858,0.7442376728006743,0.12535780506393784,0.8172824402323031,0.19972074433600895
6.274805759360606e-10,0.0,1.4194651921327485e-08,6.330312286405788e-10,3.6769131462452257e-10,5.558759549130948e-10,28821034.81119142,90927882.84237921,5.873719723408359e-09,7.269415222611967e-11,6.746437549764537e-10,1.5101998284628658e-08,3.326544592592618e-06,0.0012341236099054132,6.369502622830363e-11,4.018722606240582e-09,3.148309265334417e-09,0.02678323980456995,0.17367631540184314,-0.3447803524279281,0.0005293408267322956,0.22320740400021444,0.004086414537649519,-0.412320109913471,0.04036693669254826,-0.9605229335814807,4.328295758535123
9.368945800609237e-09,0.0,7.16233602928153e-08,1.6235794145327303e-09,3.2163637481142584e-09,2.9080631847391316e-09,4.661307129063338e-09,6.041286879390386e-09,2.0277724219264354e-08,2.49453883042528e-10,1.005634945612012e-08,1.0146605894693547e-07,1.990308210215729e-06,0.0003217938196379163,8.462649132781325e-10,2.8762033377670548e-08,1.100695350299197e-08,0.04719974530455757,0.11058875019929565,0.004101162099876443,0.0013515052198390253,0.2172933569327823,0.004086414537649519,-0.412320109913471,0.04036693669254826,-0.9605229335814807,4.328295758535123
4.0227131936274697e-10,0.0,8.591441024961377e-09,2.90118934714621e-09,2.1849949968653051e-10,2.6416297615189327e-10,1.3722069351375595e+94,4.339266354220069e+94,3.459786174875781e-09,7.485288641887385e-11,4.330775804824442e-10,1.1177491411872106e-08,4.079428405948186e-06,0.0021482818549420912,2.938603597298894e-11,2.1647831459001395e-09,1.869439945265055e-09,0.014306012506261618,0.2091277984937709,-0.4658478974463437,0.0008499518169928193,0.17988966018469066,0.004086414537649519,-0.412320109913471,0.04036693669254826,-0.9605229335814807,4.328295758535123
2.191924898884795e-06,0.0,8.52542878295656e-06,8.582661034473944e-08,9.367444542485526e-07,8.380952655564582e-07,6.64031276525046e+18,2.076283340321322e+19,8.933068454664429e-08,1.0702602443254302e-09,1.9574894754658177e-06,7.887759820421607e-06,6.378722163624011e-05,0.0026837698550983783,1.3672671532158104e-07,1.9660862450818997e-06,3.7318820669938597e-07,0.02678323980456995,0.17367631540184314,-0.3447803524279281,0.0005293408267322956,0.22320740400021444,0.2031740390421703,0.14329211658258778,0.1603191009570606,0.3791235095469969,5.324122680673064
5.536519824470378e-06,0.0,1.970567666327512e-05,1.9614843750336427e-07,2.601785973992028e-06,3.4442188230970786e-06,1.0732067700362953e-05,4.276245153316209e-06,5.405604151851282e-07,4.886473164273938e-09,4.774340680928166e-06,2.0161008926300666e-05,4.327128711835144e-05,0.001006763100025462,4.883231398487699e-07,5.25046866599769e-06,1.2160050401609445e-06,0.04719974530455757,0.11058875019929565,0.004101162099876443,0.0013515052198390253,0.2172933569327823,0.2031740390421703,0.14329211658258778,0.1603191009570606,0.3791235095469969,5.324122680673064
3.758834248135659e-06,0.0,1.5137983990899969e-05,1.6054076411010184e-07,1.188875667396516e-06,1.0019804367991526e-06,7.391938577366081e+102,1.6535879411133334e+103,3.088322038896769e-08,3.005532000827445e-10,3.4037428833641767e-06,1.3355116225702287e-05,7.524387730957175e-05,0.00414684887094342,9.384066479898267e-08,2.4801719375973875e-06,4.803712020695064e-07,0.014306012506261618,0.2091277984937709,-0.4658478974463437,0.0008499518169928193,0.17988966018469066,0.2031740390421703,0.14329211658258778,0.1603191009570606,0.3791235095469969,5.324122680673064
4.013122362332974e-11,0.0,4.707735690858523e-06,5.452409457908169e-08,1.9417060944439537e-15,4.1541976897285506e-15,3081449801240.2583,9654661997097.525,9.393067290150968e-08,9.06884583840099e-10,2.9362166183001386e-11,4.192653798567331e-06,2.9229315018797803e-06,0.0022011630484080006,1.2850032551776148e-12,1.0447850107452253e-06,1.7074371510953103e-07,0.02678323980456995,0.17367631540184314,-0.3447803524279281,0.0005293408267322956,0.22320740400021444,0.14800137599219992,0.21945150169715832,0.030683378668463546,-0.2835840327670365,5.174415325838508
8.648882419983546e-12,0.0,1.082251544585159e-05,1.234557662352168e-07,1.7474460754541062e-14,3.8247377923522e-14,4.419602011923772e-06,1.4343574094322527e-06,5.149932096892737e-07,2.867855006146739e-09,5.52081956530905e-12,1.0737282569673922e-05,2.1954104603552617e-06,0.0007654451672674283,2.1270655126911332e-12,2.7985334645749882e-06,6.894832605981779e-07,0.04719974530455757,0.11058875019929565,0.004101162099876443,0.0013515052198390253,0.2172933569327823,0.14800137599219992,0.21945150169715832,0.030683378668463546,-0.2835840327670365,5.174415325838508
1.6978543798598733e-10,0.0,8.446949825872016e-06,6.538643741785447e-08,1.1049080683918298e-17,3.3179220334946885e-17,2.449155363371339e+101,7.744909291870115e+101,3.3463047495868134e-08,2.549463163511554e-10,1.291042596993153e-10,7.091445776747055e-06,3.3432548784917867e-06,0.003495613522661562,1.646425106929395e-12,1.3166087539394632e-06,1.224494587478247e-07,0.014306012506261618,0.2091277984937709,-0.4658478974463437,0.0008499518169928193,0.17988966018469066,0.14800137599219992,0.21945150169715832,0.030683378668463546,-0.2835840327670365,5.174415325838508
1.8779437508324004e-06,0.0,2.036284173247434e-06,1.3884098133417288e-08,1.7377116189109616e-27,3.1902645636986626e-27,1.2697372278504967e+51,4.015261576539188e+51,1.0829994225713412e-08,1.537869890372426e-10,2.12430313068906e-06,2.017348857147213e-06,2.7812660442621535e-05,0.0004919458046656445,2.5283694465394855e-28,3.3033151164425167e-07,7.064114469585358e-08,0.008263438380664888,0.09537401993922057,-0.09471455516431251,0.00031662004095185724,0.1613341527304788,0.12795966830740374,0.15108685449070292,0.14805215062851873,0.12873756241056133,3.269515820846296
7.791905978682495e-06,0.0,7.451111618994325e-06,1.0672184018602443e-07,2.0730134802513283e-67,3.715297487501732e-67,7.2609498855141e-07,2.6477282613624656e-07,4.5704633403308197e-08,4.600823691572709e-10,1.0131880499903301e-05,8.019246229605753e-06,1.0839886035258652e-05,0.00010219954911823111,7.658600470924345e-68,3.8480079329500794e-07,8.727963063183793e-08,0.024427528591448,0.04346862390404688,0.01795701288666771,0.001140008059615076,0.0460065670573086,0.12795966830740374,0.15108685449070292,0.14805215062851873,0.12873756241056133,3.269515820846296
4.5724371216328837e-07,0.0,6.315389139717556e-07,6.3753754675433044e-09,1.982859038836702e-100,1.0010721790932068e-100,5.2752727039209385e-08,2.3468804973260074e-08,1.0757037370945149e-08,1.002225034773656e-10,5.545524718053658e-07,6.792130063669925e-07,2.659669457700506e-05,0.0004483386926628466,4.267939032103759e-101,3.177214525200457e-08,1.0398253106130382e-08,0.12531536410178837,0.09145237504667125,-0.47367924571185477,9.393851656116637e-05,0.03555696804763375,0.12795966830740374,0.15108685449070292,0.14805215062851873,0.12873756241056133,3.269515820846296
